ROUTE_ID,USER_ID,Rating,Pref
CB-P-0082,Anny Charms,4,1
CB-P-0082,Timmy CCW,5,1
CB-P-0010,Marko B,5,1
JN-P-0224,Eddy Ho,5,1
SU-P-1893,Stephanie,5,1
CN-P-0109,Regineeey,4,1
JB-P-0212,712maricary,5,1
IC-P-0414,BlessedTraveller,5,1
SU-P-1421,TongTong,4,1
GG-P-1430,Rasita R,5,1
GG-P-0827,Rachel T,4,1
SU-P-1576,Shirley Kong,5,1
SU-P-1416,LIt,4,1
JN-P-0027,dmist24,5,1
BS-P-0132,rasni,5,1
SU-P-0418,Jezel Pones,5,1
SU-P-2026,Anna C,5,1
SU-P-2026,Carol T,5,1
GG-P-1113,Mamaji,5,1
GG-P-1113,ruihantan,5,1
JB-P-0319,Gerizza Amigable,5,1
CB-P-0127,Abigail Victori... N,4,1
JB-P-0140,HotelBuffetLover,4,1
SU-P-3092,jbwee,5,1
BS-P-0061,Calsean,5,1
GW-P-0120,Marichie P,5,1
SU-P-0441,cool_lanie,5,1
GG-P-0704,Jamie0025,5,1
SU-P-0446,I would rather stay home but,5,1
JB-P-0415,Georgi_gorgi,5,1
JB-P-0350,Helen,5,1
SU-P-1393,Patti W,4,1
JB-P-0209,Thảo N,5,1
JB-P-0043,c C,5,1
JB-P-0219,Jenine S,3,0
BS-P-0538,LostInTimeAndSpace,4,1
JN-P-0040,Mosy71,4,1
GW-P-0129,jeru B,5,1
GG-P-0349,Gina K,5,1
CN-P-0193,welly d,5,1
CN-P-0193,Vivian G,5,1
BS-P-0359,Rachel X,5,1
GN-P-0071,Emz,4,1
SU-P-1707,Acineto,4,1
SU-P-2212,Travellover6128,3,0
BS-P-0090,Karen B,4,1
JB-P-0441,carrotc,4,1
SU-P-2924,FatimaAlBaloushi,4,1
SU-P-2102,Gosia,5,1
DG-P-0090,Jennifer l,5,1
SU-P-2471,Elena P,4,1
SU-P-1305,Rares M,4,1
SU-P-0350,Regina A,5,1
SU-P-3381,msyana33,5,1
BS-P-0101,Marisol R,5,1
BS-P-0795,Florence T,5,1
GG-P-0120,Rosita T,5,1
GG-P-0122,AS-Hong Kong,5,1
SU-P-0508,Bridget W,5,1
GG-P-0367,AsianTwigglez,5,1
SU-P-0080,Travel_nomad_101,5,1
GW-P-0136,battambangexpat,5,1
BS-P-0109,Andreas G,4,1
JN-P-0049,Egemen İ,5,1
GN-P-0003,Hannah W,5,1
JN-P-0187,Swapna C,4,1
SU-P-2048,Rayden O,5,1
SU-P-2048,Heather B,5,1
SU-P-2048,Gina B,5,1
SU-P-3298,Anna D,5,1
SU-P-0555,Saw Nwe,5,1
SU-P-0558,Tanya H,5,1
GG-P-0378,Ria NH,5,1
GG-P-0392,Antonio,5,1
JB-P-0030,kwp,5,1
GW-P-0144,Fiona,5,1
SU-P-0107,Laverne H,5,1
BS-P-0128,Anna A,5,1
JN-P-0053,Ekaterina S,5,1
JN-P-0054,Navigator729799,4,1
JN-P-0055,Highlander27,4,1
US-P-0028,Jeff H,5,1
SU-P-0998,phoebepaide,5,1
GB-P-0096,Dricy D,5,1
GB-P-0008,Mathew W,5,1
GB-P-0191,Emilie J,5,1
GG-P-0850,Julia K,5,1
BS-P-0773,Joyce T,5,1
GG-P-1054,Sing,3,0
JN-P-0269,Renata D,5,1
SU-P-0574,Fiona,5,1
SU-P-1646,Amatullah S,5,1
SU-P-0585,Grace E.,5,1
DJ-P-0116,Evelyne M,5,1
DJ-P-0032,Markus,5,1
JJ-P-0156,John B,4,1
JJ-P-0156,Shreerekha V,4,1
SU-P-3016,EJ D,5,1
SU-P-1599,christinechanys,5,1
GG-P-1044,Christine T,5,1
GJ-P-0046,Allison K,2,0
BS-P-0139,SH Tan,5,1
SU-P-0095,Kathryn S,5,1
JN-P-0258,Madison,4,1
IC-P-0487,Greg A,5,1
GG-P-0873,DBY,4,1
