ROUTENAME,Place
얼굴없는 미녀,홈플러스 중계점(구 까르푸 중계점)
누구의 딸도 아닌 해원,이화가(구 다정)
내 남자의 로맨스,대전신세계 아트앤사이언스(구 대전 꿈돌이랜드)
그놈은 멋있었다,한국시네마테크협의회(구 서울극장)
얼굴없는 미녀,수하산문화학교(구 수하산 알파인롯지 앤 클럽)
가족,분당아미고타워(구 야탑 래미향)
"달마야, 서울가자",강선마을10단지아파트(구 일산 탐라랜드 사우나)
여선생VS여제자,조인스닷컴
명왕성,토즈스터디센터 대치1센터(구 카페714)
누구의 딸도 아닌 해원,신정상사(구 종로구 키오스크)
에스다이어리(S 다이어리),춘천의류백화점(구 피카디리극장)
심장이 뛴다,과천위버필드아파트(구 과천 주공2단지)
6년째 연애중,과천자이아파트
조작된 도시,무안군청
내사랑 싸가지,덕소두산위브아파트
위대한 소원,효자풍림아이원아파트
영구 홀로 집에,소양호
미드나이트,광명시청
좁은 공간,해동마을한양수자인아파트
택시운전사,광주광역시 동구 지산동 공터 1
인사동 스캔들,사직공원 영상문화관별관
암살,알찬광천토굴새우젓
조선 미녀 삼총사,수옥폭포
청춘학당: 풍기문란 보쌈 야사,수옥폭포
미인도,공림사
여선생VS여제자,여수교동시장
남과 여,성내4교
택시운전사,서남대학교 아산캠퍼스
택시운전사,서남대학교 남원캠퍼스
웅비와 인간 아닌 친구들,인하대학교 용현캠퍼스
나쁜 녀석들: 더 무비,서울강서경찰서
시간이탈자,파주경찰서
원라인,성남중원경찰서
기생충,서울종로경찰서 112상황실
걸캅스,서울강남경찰서
님은 먼곳에,광양역사문화관(구 광양군청)
눈에는 눈 이에는 이,남해지방해양경찰청 교육센터(구 부산해사고등학교)
악인전,교정아파트(구 성동구치소)
검은 안경,수색역
쫄병수첩,수색역
신의 한 수: 귀수편,용인경찰체력단련장(구 용인경찰대학교)
백두산,용인경찰체력단련장(구 용인경찰대학교)
슈퍼맨이었던 사나이,전라감영(구 전라북도청)
슈퍼맨이었던 사나이,제천시보건소(구 제천시청)
홀리데이,멕시카나
내안의 그놈,태영인력개발직업소개소
슈퍼스타 감사용,구덕운동장
엑시트,국가문헌보존관(구 국제방송센터(IBC))
내부자들,국가철도공단 수도권본부
히말라야,북한산국립공원
히말라야,국립공원공단 북한산생태탐방원(구 북한산 생태탐방연수원)
대호,지리산국립공원 운봉분소(구 국립공원공단지리산사무소 북부사무소)
말죽거리 잔혹사,전북대학교 특성화캠퍼스(구 국립익산대학교)
내부자들,서경빌딩(구 국빈관)
검사외전,새만금방조제(구 새만금 간척지)
"소년, 천국에가다",군산공설시장
말죽거리 잔혹사,선헤어
부산행,부전역
순정,궁전마을회관
방황하는 칼날,그림펜션
사랑은 없다,금강메디컬의원
조선명탐정: 사라진 놉의 딸,적벽강
신기전(神機箭),적벽강
퇴마: 무녀굴,부산광역시 금정구 북문로
가려진 시간,금포마을회관
소름,서울특별시 서대문구 충정로3가 공터 1
하루,아시아나항공 본사
국제시장,기룡마을회관
기생충,팀PC
고고70,천지카바레
우리들,신길음1구역재개발정비사업조합
검은 사제들,월배성당
검은 사제들,올리브영 명동중앙점
검은 사제들,삼보식당
검은 사제들,고바우
남영동1985,해천사우나
극비수사,김광덕이비인후과의원
극비수사,중리바닷가
미쓰 와이프,경기도 김포시 고촌읍 신곡리 공터 1
5인의 해병,경기도 김포시 양촌읍 대포리
돌아온 남아,김포국제공항 국내선
웨딩드레스,김포도시관리공사 지점
누구나 제명에 죽고싶다,GS칼텍스 건지주유소(구 까미노피자&클래식바)
방황하는 칼날,꿈앤들티펜션
박열,나라키움부산온타워(구 부산남부경찰서)
두 여자 이야기,낙안신전마을복지회관
탐정 홍길동: 사라진 마을,K-water 남강댐지사(구 한국수자원공사 남강댐 관리단)
황홀,순천고등학교
식모 삼형제,숭례문
염통에 털난 사나이,숭례문
팔도여군,숭례문
미인도,한국의집
탐정: 더 비기닝,남산타운아파트
슈퍼맨이었던 사나이,남서울힐스테이트아파트(구 남서울 한양아파트)
히말라야,나사에어라인스튜디오
아빠가 여자를 좋아해,남양주종합촬영소
신기전(神機箭),광한루원
김종욱 찾기,남이섬
극비수사,KBS 본사
범죄와의 전쟁 : 나쁜놈들 전성시대,남평문씨부산회관
축제,남포마을회관
아가씨,남해고속 녹동지점
순정,내로마을회관
친구2,컴포트(구 울산 공주노래방)
곤지암,머그포래빗 강남점
덕구,덕곡면 삼거리슈퍼
덕구,강산반점
덕구,열린농장
목격자,소굴
마약왕,정남선박의장
내안의 그놈,엠아이 폴리스 스튜디오
롱 리브 더 킹: 목포 영웅,유달산공원
소셜포비아,노량진컵밥거리
악의 연대기,서울특별시 노원구 상계3.4동
방황하는 칼날,노원역 4호선
탐정: 더 비기닝,마시기통차
탐정: 더 비기닝,느린하루 오류점
욕망의 거리,파르나스호텔 제주(구 제주 하얏트 리젠시 호텔)
몸 전체로 사랑을,파르나스호텔 제주(구 제주 하얏트 리젠시 호텔)
어깨동무,케이엠컬쳐
우아한 세계,서울특별시 강남구 논현동
장수상회,에버랜드
멜리스,동천마을1단지아파트(구 동천주공1단지아파트)
찌라시 : 위험한 소문,누리마루 APEC하우스
기생충,JTBC
대호,완도수목원
섬. 사라진 사람들,하얀2층집민박
섬. 사라진 사람들,수락산 길가생
비밀은 없다,부산영상위원회
비밀은 없다,대원중학교
걸캅스,중림동 주민센터
의형제,다원엔지니어링
전우치,고운골남한강갈대숲
미인도,북벽
데드 엔드,서울삼성의원
미인도,온달관광지
4등,달콤
궁합,전라남도 담양군 담양읍 학동리 공터 2
명당 (明堂),전라남도 담양군 담양읍 학동리 공터 2
재심,인창호
관세음보살,원자력병원
데드 엔드,한국자연산약초공개직판장
데드 엔드,사인암
허삼관,국민의숲길
아가씨,국민의숲길
대호,국민의숲길
킬링 로맨스,국민의숲길
모던 보이,대관령사파리목장펜션
"로봇, 소리",중앙로역 대구1호선
모던 보이,계명대학교 대구동산병원
파파로티,인당아트홀
가려진 시간,대일해운
잔혹한 하루 (사형집행통지서),엠제이쥬얼리(구 명신귀금속도매센타)
탐정: 더 비기닝,반석마을4단지아파트
식객,대전과학기술대학교(구 혜천대학교)
잡아야 산다,대전교통공사 본사(구 대전광역시도시철도공사)
잡아야 산다,대전중앙교회
조작된 도시,대전정보문화산업진흥원
반도,대전정보문화산업진흥원
실종,대죽3리마을회관
그날의 분위기,향일암
대호,신흥사
대호,비둘기낭폭포
사랑은 없다,호림주유소(구 더라인하우스웨딩)
걸프렌즈,덕평자연휴게소 강릉방향
친구2,이웰갤러리(구 도도갤러리카페)
미쓰백,남양주시청 제1청사
주유소 습격사건 2,도미솔식품
방황하는 칼날,독일문화원
동승,전라남도 여수시 소라면 대포리
라라 선샤인,동국대학교 문화관
악의 연대기,서울특별시 동대문구 이문동
아는 여자,동대문디자인플라자(구 동대문야구장)
어린신부,동대문디자인플라자(구 동대문운동장)
황제를 위하여,동백섬
우리는 형제입니다,동순천서광양TG
마파도,CGV 강남(구 동아극장)
우렁각시,충청남도 서산시 해미면 동암리 공터 1
82년생 김지영,휴먼시아7단지아파트
보민이,정금마을
대호,한화리조트 설악쏘라노(구 설악씨네라마)
그놈이다,고현마을정보센터
주홍글씨,라마다서울호텔 어반테라피(구 라마다서울호텔)
숙명,블랙스톤즈
돈,라비돌리조트컨트리클럽
극비수사,부산광역시 서구 서대신동1가
내게 남은 사랑을,BY(구 새싹그림마을어린이집)
악녀,노블레스(구 팔레드고몽)
신촌좀비만화,KFC 명일DI점(구 롯데리아 명일DT점)
자귀모(자살한 귀신들의 모임),롯데월드매직아일랜드
초록 물고기,경기도 남양주시 별내면 청학리 공터 1
좋아해줘,리버랜드 번지점프
이 생명 다하도록,경기도 남양주시 화도읍 마석우리
오빠가 돌아왔다,마포시장(구 공덕동 경찰서 세트장)
추격자,컴포즈커피 망원우체국사거리점(구 망원우체국)
눈에는 눈 이에는 이,그랜드조선 부산(구 노보텔엠버서더부산)
곡성(哭聲),매월대폭포
