Recommended Places
"Haedong Yonggungsa Temple, Busan, Jagalchi Market, Songdo Cable Car, Bupyeong Kkangtong Market, Gamcheon Culture Village, Busan, Hwangnyeongsan Mountain"
"The Garden of Morning Calm, Nami Island, Petite-France, Pinocchio and Da Vinci"
Busan
"Yeonmudae (Dongjangdae), Banghwasuryujeong Pavilion (Dongbukgakru), Jidong Market, Haenggung Street, Haenggung Street, Hwaseong Haenggung Palace"
"Boss Apple Farm 사과깡패, Pocheon Art Valley, Pyunggang Botanical Garden, Boss Apple Farm 사과깡패, Pocheon Art Valley, Pyunggang Botanical Garden"
"Gyeongbokgung Palace, National Folk Museum of Korea, Bukchon Hanok Village, Jogyesa Temple, Insadong, Kyung-In Museum of Fine Art, Cheonggyecheon Stream, Baek In-je's House, Kwangjang Market"
